#NFLVTB; data of N fraction in leaves [g N m-2] as a function of DVS;Data of SLA values as a function of DVS;;LUE as a function of air temperature;;data of fraction of max N in leaves based on weight basis as a function of DVS;; data of P fraction in leaves [g P m-2] as a function of DVS;;data of fraction of max N in leaves based on weight basis as a function of DVS;
DVSN;k_Nlv;DVSSLA;SLA;T;LUE;DVSNMAX;k_Nlv_max;DVSP;k_lv_P;DVSPMAX;k_lv_maxP
0;0.54;0;0.0045;10;0.54;0;0.053;0;;0;0.00176803
0.16;0.54;0.16;0.0045;40;0.36;0.4;0.053;0.16;;0.4;0.001819404
0.33;1.53;0.33;0.0033;;;0.75;0.04;0.33;;0.75;0.001402074
0.65;1.22;0.65;0.0028;;;1;0.028;0.65;;1;0.001205085
0.79;1.56;0.79;0.0024;;;2;0.022;0.79;;2;0.000793461
1;1.29;2.1;0.0023;;;2.5;0.015;1;;2.5;0.000462524
1.46;1.37;2.5;0.0023;;;3;0.015;1.46;;;
2.02;0.83;3;0.0023;;;;;2.02;;;
2.5;0.83;;;;;;;2.5;;;
3;0.83;;;;;;;;;;
